,French,English
0,partie,part
1,chercher,search
2,seulement,only
3,pensais,thought
4,aide,help
5,demande,request
6,genre,kind
7,mois,month
8,frère,brother
9,laisser,let
10,car,because
11,mettre,to put
12,aucun,no
13,laisse,leash
14,eux,them
15,ville,city
16,chaque,each
17,parlé,speak
18,arrivé,come
19,devrait,should
20,bébé,baby
21,longtemps,long time
22,heures,hours
23,vont,will
24,pendant,while
25,revoir,meet again
26,place,square
27,parle,speak
28,compris,understood
29,savais,knew
30,étaient,were
31,attention,Warning
32,pourrais,could
33,donner,give
34,type,type
35,leurs,their
36,train,train
37,corps,body
38,endroit,place
39,yeux,eyes
40,façon,way
41,écoute,listen
42,dont,whose
43,trouve,find
44,main,hand
45,première,first
46,côté,side
47,pouvoir,power
48,vieux,old
49,sois,be
50,tiens,here
51,matin,morning
52,tellement,so much
53,enfant,child
54,point,point
55,venu,came
56,suite,after
57,venez,come
58,devant,in front of
59,vers,towards
60,minutes,minutes
61,belle,beautiful
62,droit,law
63,aimerais,would like to
64,aujourd'hui,today
65,mari,husband
66,cause,cause
67,enfin,finally
68,espère,hope
69,eau,water
70,attendez,Wait
71,parti,left
72,nouvelle,new
73,boulot,job
74,arrêter,Stop
75,dirait,would say
76,terre,Earth
77,compte,account
78,loin,far
79,fin,end
80,chérie,sweetheart
81,gros,large
82,plutôt,rather
83,aura,will have
84,filles,girls
85,jouer,to play
86,bureau,office
